Airport ID;Name;City;Country;Latitude;Longitude
184;Lynn Lake Airport;Lynn Lake;Canada;56.86389923;-101.0759964
185;Swift Current Airport;Swift Current;Canada;50.29190063;-107.6910019
186;Churchill Airport;Churchill;Canada;58.73920059;-94.06500244
187;Goose Bay Airport;Goose Bay;Canada;53.31919861;-60.42580032
188;St. John's International Airport;St. John's;Canada;47.61859894;-52.75189972
189;Kapuskasing Airport;Kapuskasing;Canada;49.41389847;-82.46749878
190;Armstrong Airport;Armstrong;Canada;50.29029846;-88.90969849
191;Mont Joli Airport;Mont Joli;Canada;48.60860062;-68.20809937
192;Lester B. Pearson International Airport;Toronto;Canada;43.67720032;-79.63059998
193;Downsview Airport;Toronto;Canada;43.74250031;-79.46559906
194;Gore Bay Manitoulin Airport;Gore Bay;Canada;45.88529968;-82.56780243
195;Yellowknife Airport;Yellowknife;Canada;62.46279907;-114.4400024
196;Slave Lake Airport;Slave Lake;Canada;55.29309845;-114.7770004
197;Sandspit Airport;Sandspit;Canada;53.25429916;-131.8139954
198;Chris Hadfield Airport;Sarnia;Canada;42.99940109;-82.30889893
199;Port Hardy Airport;Port Hardy;Canada;50.68059921;-127.3669968
200;Whitecourt Airport;Whitecourt;Canada;54.14390182;-115.7870026
201;Sept-Îles Airport;Sept-iles;Canada;50.22330093;-66.26560211
202;Teslin Airport;Teslin;Canada;60.17279816;-132.7429962
203;CFB Greenwood;Greenwood;Canada;44.9844017;-64.91690063
204;Faro Airport;Faro;Canada;62.20750046;-133.3760071
205;Fort Mcpherson Airport;Fort Mcpherson;Canada;67.40750122;-134.8609924
206;Blida Airport;Blida;Algeria;36.50360107;2.814169884
207;Bou Saada Airport;Bou Saada;Algeria;35.33250046;4.206389904
208;Soummam Airport;Bejaja;Algeria;36.7120018;5.069920063
209;Houari Boumediene Airport;Algier;Algeria;36.69100189;3.215409994
210;Djanet Inedbirene Airport;Djanet;Algeria;24.292801;9.45244
211;Boufarik Airport;Boufarik;Algeria;36.545799;2.87611
212;Reggane Airport;Reggan;Algeria;26.7101;0.285647
213;Illizi Takhamalt Airport;Illizi;Algeria;26.7234993;8.622650146
214;Ain Oussera Airport;Ain Oussera;Algeria;35.52539825;2.878710032
215;Aguenar – Hadj Bey Akhamok Airport;Tamanrasset;Algeria;22.81150055;5.451079845
216;Jijel Ferhat Abbas Airport;Jijel;Algeria;36.79510117;5.87361002
217;Mecheria Airport;Mecheria;Algeria;33.53590012;-0.242353007
218;Relizane Airport;Relizane;Algeria;35.752201;0.626272
219;Rabah Bitat Airport;Annaba;Algeria;36.822201;7.809174
220;Mohamed Boudiaf International Airport;Constantine;Algeria;36.27600098;6.620389938
221;Cheikh Larbi Tébessi Airport;Tebessa;Algeria;35.43159866;8.12071991
222;Hassi R'Mel Airport;Tilrempt;Algeria;32.93040085;3.311539888
223;Bou Chekif Airport;Tiaret;Algeria;35.34109879;1.463150024
224;Bou Sfer Airport;Bou Sfer;Algeria;35.73540115;-0.805388987
225;Tindouf Airport;Tindouf;Algeria;27.7003994;-8.167099953
226;Ech Cheliff Airport;Ech-cheliff;Algeria;36.21269989;1.331769943
227;Tafaraoui Airport;Oran;Algeria;35.54240036;-0.532278001
228;Zenata – Messali El Hadj Airport;Tlemcen;Algeria;35.01670074;-1.450000048
229;Es Senia Airport;Oran;Algeria;35.62390137;-0.621182978
230;Sidi Bel Abbes Airport;Sidi Bel Abbes;Algeria;35.17179871;-0.593275011
231;Ghriss Airport;Ghriss;Algeria;35.20769882;0.147141993
232;Touat Cheikh Sidi Mohamed Belkebir Airport;Adrar;Algeria;27.83760071;-0.186414003
233;Biskra Airport;Biskra;Algeria;34.79330063;5.738230228
234;El Golea Airport;El Golea;Algeria;30.57130051;2.859590054
235;Noumérat - Moufdi Zakaria Airport;Ghardaia;Algeria;32.38410187;3.79411006
236;Oued Irara Airport;Hassi Messaoud;Algeria;31.67300034;6.140439987
237;In Salah Airport;In Salah;Algeria;27.25099945;2.512020111
238;Touggourt Sidi Madhi Airport;Touggourt;Algeria;33.06779861;6.088669777
239;Laghouat Airport;Laghouat;Algeria;33.76440048;2.928339958
240;Timimoun Airport;Timimoun;Algeria;29.2371006;0.276033014
241;Ain el Beida Airport;Ouargla;Algeria;31.91720009;5.412779808
242;In Aménas Airport;Zarzaitine;Algeria;28.0515;9.64291
243;Cadjehoun Airport;Cotonou;Benin;6.357230186;2.384350061
244;Ouagadougou Airport;Ouagadougou;Burkina Faso;12.3532;-1.51242
245;Bobo Dioulasso Airport;Bobo-dioulasso;Burkina Faso;11.16009998;-4.33096981
246;Kotoka International Airport;Accra;Ghana;5.6051898;-0.166786
247;Tamale Airport;Tamale;Ghana;9.557189941;-0.863214016
248;Wa Airport;Wa;Ghana;10.08269978;-2.507689953
249;Sunyani Airport;Sunyani;Ghana;7.361830235;-2.328759909
250;Takoradi Airport;Takoradi;Ghana;4.89605999;-1.774760008
251;Port Bouet Airport;Abidjan;Cote d'Ivoire;5.261390209;-3.926290035
252;Bouaké Airport;Bouake;Cote d'Ivoire;7.738800049;-5.07366991
